"Game Date","Game Type","Grade","Round","Game Status","Venue","Playing Surface","Time","Toss Winner","Elected To","Home Team","Home Team Score","Home Team Over Limit","Home Team Result","Home Team Players In Lineup","Home Team Player Points","Away Team","Away Team Score","Away Team Over Limit","Away Team Result","Away Team Players In Lineup","Away Team Player Points","Bye","Host Organisation","Competition","Competition Type","Season","Game Alias","Game Code","Game ID","Result Source","Result Timestamp (last updated)","Last Updated At","Last Updated By","Last Updated By Organisation"
"04/10/2025","One Day","2nd Grade","Round 1","Abandoned","Monyash Reserve","Monyash Reserve","12:00","Hola Health WSCC 1st XI","Bowl","NBCCC 1st XI - Pentagon","1/11 (2.3)","40","Abandoned","11",,"Hola Health WSCC 1st XI","0/0","40","Abandoned","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9584bd","9584bd01-2637-4b7f-b83b-40f1554978e0","Manual","09/10/2025 13:38 (Australia/Perth)","09/10/2025 13:39 (Australia/Perth)","Bradley Forbes","Western Suburbs Cricket Club"
"04/10/2025",,"Colts T20","Round 1",,,,,,,,,,,,,,,,,,,"X Golf WSCC Colts","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"04/10/2025",,"RJR Sports T20 Division 1","Round 1",,,,,,,,,,,,,,,,,,,"Hola Health WSCC T20 Div 1","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"04/10/2025",,"Twenty20 Div 2","Round 1",,,,,,,,,,,,,,,,,,,"Varsity WSCC T20 Div 2","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"04/10/2025",,"Twenty20 Div 3","Round 1",,,,,,,,,,,,,,,,,,,"Prestige Liquor WSCC T20 Div 3","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"11/10/2025",,"2nd Grade","Round 2",,,,,,,,,,,,,,,,,,,"Hola Health WSCC 1st XI","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"11/10/2025","One Day","4th Grade","Round 1","Final","College Park","College Park West - Turf","12:00","LSR SMCC 4th Grade","Bowl","Kreative Property WSCC 2nd XI","6/223 (40)","40","Won","11",,"LSR SMCC 4th Grade","10/120 (27.4)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"0f0940","0f094080-4163-4f5b-8b69-0e7c96b09996","Manual","11/10/2025 18:42 (Australia/Perth)","13/10/2025 09:17 (Australia/Perth)","Bradley Forbes","Western Suburbs Cricket Club"
"11/10/2025","One Day","5th Grade","Round 1","Final","Jubilee Reserve (EDEN HILL)","Jubilee Reserve East (Synthetic)","12:00","Prestige Liquor WSCC 3rd XI","Bowl","Nail Brewing - Bassendean CC 3rd XI","10/142 (39.3)","40","Lost","11",,"Prestige Liquor WSCC 3rd XI","5/147 (32.3)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7eda01","7eda018e-008a-41be-b96b-3e77cbfbd44b","E-scoring","12/10/2025 08:02 (Australia/Perth)","12/10/2025 08:02 (Australia/Perth)",,""
"11/10/2025","One Day","7th Grade","Round 1","Final","Newman College","Newman College - Lower (Synthetic)","12:00","Canaccord Genuity WSCC 4th XI","Bat","LSR SMCC 4th XI","6/186 (39.1)","40","Won","11",,"Canaccord Genuity WSCC 4th XI","7/183 (40)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"f2b25d","f2b25dc1-f491-44df-b2c1-111f8414677a","E-scoring","11/10/2025 18:00 (Australia/Perth)","12/10/2025 10:48 (Australia/Perth)","Morgan Klug","Western Suburbs Cricket Club"
"12/10/2025","T20","Colts T20","Round 2","Final","Allen Park","Allen Park Upper (Turf)","14:30","Swanbourne CC T20 Colts XII","Bat","Swanbourne CC T20 Colts XII","3/155 (20)","20","Lost","12",,"X Golf WSCC Colts","6/157 (17.5)","20","Won","12",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"c73501","c7350105-eb4a-412a-9d3c-1d05f91cb3db","E-scoring","12/10/2025 17:59 (Australia/Perth)","14/10/2025 15:29 (Australia/Perth)","Simon Morgan","West Australian Suburban Turf Cricket Assoc."
"12/10/2025","T20","RJR Sports T20 Division 1","Round 2","Final","College Park","College Park West - Turf","10:30","FMPCC Pirates T20 Division 1","Bat","Hola Health WSCC T20 Div 1","4/101 (17.1)","20","Won","11",,"FMPCC Pirates T20 Division 1","10/100 (19.5)","20","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9c6b72","9c6b7280-94d5-4047-bca6-c7fc04c4b1e3","E-scoring","12/10/2025 13:29 (Australia/Perth)","13/10/2025 13:51 (Australia/Perth)","Simon Morgan","West Australian Suburban Turf Cricket Assoc."
"12/10/2025","T20","Twenty20 Div 2","Round 2","Final","College Park","College Park West - Turf","14:00","FMPCC Pirates T20 Division 2","Bowl","Varsity WSCC T20 Div 2","4/134 (20)","20","Won","11",,"FMPCC Pirates T20 Division 2","10/36 (14.3)","20","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e6e47f","e6e47fa6-ccd3-4ec3-89c5-58c56853240a","Manual","23/10/2025 09:07 (Australia/Perth)","23/10/2025 09:07 (Australia/Perth)","Simon Morgan","West Australian Suburban Turf Cricket Assoc."
"12/10/2025",,"Twenty20 Div 3","Round 2",,,,,,,,,,,,,,,,,,,"Prestige Liquor WSCC T20 Div 3","West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,,,,,,"",""
"18/10/2025","One Day","2nd Grade","Round 3","Final","Harold Rossiter Park","Harold Rossiter Park","12:00","Hola Health WSCC 1st XI","Bat","CVPCC First XI","10/72 (21.4)","40","Lost","12",,"Hola Health WSCC 1st XI","4/241 (40)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"cb56de","cb56de56-b361-4d31-9b03-3ed0a7eada83","E-scoring","18/10/2025 16:49 (Australia/Perth)","20/10/2025 19:32 (Australia/Perth)","Brian Talbot","Curtin Victoria Park Cricket Club"
"18/10/2025","One Day","4th Grade","Round 2","Final","College Park","College Park West - Turf","12:00","Kreative Property WSCC 2nd XI","Bat","Kreative Property WSCC 2nd XI","6/240 (40)","40","Won","11",,"Octagon Lifts CVPCC Second XI","9/125 (40)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"fbc2ce","fbc2cef4-9b78-4382-b619-c809887d1a2c","E-scoring","18/10/2025 17:59 (Australia/Perth)","20/10/2025 17:31 (Australia/Perth)","Brian Talbot","Curtin Victoria Park Cricket Club"
"18/10/2025","One Day","5th Grade","Round 2","Final","Scott Reserve","Scott Reserve 2 (Synthetic)","12:00","High Wycombe 3rd XI","Bowl","High Wycombe 3rd XI","9/187 (40)","40","Lost","11",,"Prestige Liquor WSCC 3rd XI","10/190 (39.3)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"91cb34","91cb3400-8a85-43ab-ac7a-431ad712a489","E-scoring","18/10/2025 18:15 (Australia/Perth)","19/10/2025 20:26 (Australia/Perth)","Alex Ford","Western Suburbs Cricket Club"
"18/10/2025","One Day","7th Grade","Round 2","Final","College Park","College Park Lower - Synthetic","12:00","Ocean Ridge 3rd XI","Bowl","Canaccord Genuity WSCC 4th XI","7/150 (40)","40","Lost","11",,"Ocean Ridge 3rd XI","2/151 (34)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e739e0","e739e04f-0d6b-45f0-a4f4-d2ff55140f0d","E-scoring","18/10/2025 17:24 (Australia/Perth)","19/10/2025 10:59 (Australia/Perth)","Morgan Klug","Western Suburbs Cricket Club"
