event_name,start_date,end_date,start_time,end_time,description,location,access_groups,rsvp,comments,attendance_tracking,duty_roster,ticketing,reference_id
2nd Grade NBCCC 1st XI - Pentagon vs Hola Health WSCC 1st XI,2025-10-04,2025-10-04,12:00,14:00,One Day Round 1: NBCCC 1st XI - Pentagon vs Hola Health WSCC 1st XI,Monyash Reserve,NBCCC 1st XI - Pentagon,true,true,false,false,false,
Colts T20  vs,2025-10-04,2025-10-04,,, Round 1:  vs ,,Public,true,true,false,false,false,
RJR Sports T20 Division 1  vs,2025-10-04,2025-10-04,,, Round 1:  vs ,,Public,true,true,false,false,false,
Twenty20 Div 2  vs,2025-10-04,2025-10-04,,, Round 1:  vs ,,Public,true,true,false,false,false,
Twenty20 Div 3  vs,2025-10-04,2025-10-04,,, Round 1:  vs ,,Public,true,true,false,false,false,
2nd Grade  vs,2025-10-11,2025-10-11,,, Round 2:  vs ,,Public,true,true,false,false,false,
4th Grade Kreative Property WSCC 2nd XI vs LSR SMCC 4th Grade,2025-10-11,2025-10-11,12:00,14:00,One Day Round 1: Kreative Property WSCC 2nd XI vs LSR SMCC 4th Grade,College Park West - Turf,Kreative Property WSCC 2nd XI,true,true,false,false,false,
5th Grade Nail Brewing - Bassendean CC 3rd XI vs Prestige Liquor WSCC 3rd XI,2025-10-11,2025-10-11,12:00,14:00,One Day Round 1: Nail Brewing - Bassendean CC 3rd XI vs Prestige Liquor WSCC 3rd XI,Jubilee Reserve East (Synthetic),Nail Brewing - Bassendean CC 3rd XI,true,true,false,false,false,
7th Grade LSR SMCC 4th XI vs Canaccord Genuity WSCC 4th XI,2025-10-11,2025-10-11,12:00,14:00,One Day Round 1: LSR SMCC 4th XI vs Canaccord Genuity WSCC 4th XI,Newman College - Lower (Synthetic),LSR SMCC 4th XI,true,true,false,false,false,
Colts T20 Swanbourne CC T20 Colts XII vs X Golf WSCC Colts,2025-10-12,2025-10-12,14:30,16:30,T20 Round 2: Swanbourne CC T20 Colts XII vs X Golf WSCC Colts,Allen Park Upper (Turf),Swanbourne CC T20 Colts XII,true,true,false,false,false,
RJR Sports T20 Division 1 Hola Health WSCC T20 Div 1 vs FMPCC Pirates T20 Division 1,2025-10-12,2025-10-12,10:30,12:30,T20 Round 2: Hola Health WSCC T20 Div 1 vs FMPCC Pirates T20 Division 1,College Park West - Turf,Hola Health WSCC T20 Div 1,true,true,false,false,false,
Twenty20 Div 2 Varsity WSCC T20 Div 2 vs FMPCC Pirates T20 Division 2,2025-10-12,2025-10-12,14:00,16:00,T20 Round 2: Varsity WSCC T20 Div 2 vs FMPCC Pirates T20 Division 2,College Park West - Turf,Varsity WSCC T20 Div 2,true,true,false,false,false,
Twenty20 Div 3  vs,2025-10-12,2025-10-12,,, Round 2:  vs ,,Public,true,true,false,false,false,
2nd Grade CVPCC First XI vs Hola Health WSCC 1st XI,2025-10-18,2025-10-18,12:00,14:00,One Day Round 3: CVPCC First XI vs Hola Health WSCC 1st XI,Harold Rossiter Park,CVPCC First XI,true,true,false,false,false,
4th Grade Kreative Property WSCC 2nd XI vs Octagon Lifts CVPCC Second XI,2025-10-18,2025-10-18,12:00,14:00,One Day Round 2: Kreative Property WSCC 2nd XI vs Octagon Lifts CVPCC Second XI,College Park West - Turf,Kreative Property WSCC 2nd XI,true,true,false,false,false,
5th Grade High Wycombe 3rd XI vs Prestige Liquor WSCC 3rd XI,2025-10-18,2025-10-18,12:00,14:00,One Day Round 2: High Wycombe 3rd XI vs Prestige Liquor WSCC 3rd XI,Scott Reserve 2 (Synthetic),High Wycombe 3rd XI,true,true,false,false,false,
7th Grade Canaccord Genuity WSCC 4th XI vs Ocean Ridge 3rd XI,2025-10-18,2025-10-18,12:00,14:00,One Day Round 2: Canaccord Genuity WSCC 4th XI vs Ocean Ridge 3rd XI,College Park Lower - Synthetic,Canaccord Genuity WSCC 4th XI,true,true,false,false,false,
One Day Grade 1 Bedford Morley 3rd XI (OD1 Blue) vs WSCC One Day 1's,2025-10-18,2025-10-18,12:00,14:00,One Day Round 1: Bedford Morley 3rd XI (OD1 Blue) vs WSCC One Day 1's,RA Cook Reserve North (Synthetic),Bedford Morley 3rd XI (OD1 Blue),true,true,false,false,false,
One Day Grade 2 Hola Health WSCC One Day 2's vs High Wycombe 4th XI (OD2),2025-10-18,2025-10-18,12:00,14:00,One Day Round 1: Hola Health WSCC One Day 2's vs High Wycombe 4th XI (OD2),Charles Court Reserve,Hola Health WSCC One Day 2's,true,true,false,false,false,
One Day Grade 3 WSCC One Day 3's vs Kalamunda 4th XI - OD3,2025-10-18,2025-10-18,12:00,14:00,One Day Round 1: WSCC One Day 3's vs Kalamunda 4th XI - OD3,David Cruikshank Reserve,WSCC One Day 3's,true,true,false,false,false,
One Day Grade 4 Balcatta Cats 5th XI vs WSCC One Day 4's,2025-10-18,2025-10-18,12:00,14:00,One Day Round 1: Balcatta Cats 5th XI vs WSCC One Day 4's,Des Penman Memorial South (Synthetic),Balcatta Cats 5th XI,true,true,false,false,false,
One Day Grade 5 Black NBCCC OD5 - Core Wealth vs WSCC One Day 5's,2025-10-18,2025-10-18,12:00,14:00,One Day Round 1: NBCCC OD5 - Core Wealth vs WSCC One Day 5's,Eglinton Aintree Reserve,NBCCC OD5 - Core Wealth,true,true,false,false,false,
2nd Grade Swan Valley 1st XI vs Hola Health WSCC 1st XI,2025-10-25,2025-10-25,12:30,14:30,Two Day Round 4: Swan Valley 1st XI vs Hola Health WSCC 1st XI,Kent Street SHS (Turf),Swan Valley 1st XI,true,true,false,false,false,
4th Grade Kreative Property WSCC 2nd XI vs Swan Valley 2nd XI,2025-10-25,2025-10-25,12:00,14:00,One Day Round 3: Kreative Property WSCC 2nd XI vs Swan Valley 2nd XI,College Park East - Turf,Kreative Property WSCC 2nd XI,true,true,false,false,false,
5th Grade Prestige Liquor WSCC 3rd XI vs Applecross 3rd XI,2025-10-25,2025-10-25,12:00,14:00,One Day Round 3: Prestige Liquor WSCC 3rd XI vs Applecross 3rd XI,Rosalie Park Turf (South Oval),Prestige Liquor WSCC 3rd XI,true,true,false,false,false,
7th Grade FMPCC Pirates 5th XI vs Canaccord Genuity WSCC 4th XI,2025-10-25,2025-10-25,12:00,14:00,One Day Round 3: FMPCC Pirates 5th XI vs Canaccord Genuity WSCC 4th XI,Tom Perrott Reserve,FMPCC Pirates 5th XI,true,true,false,false,false,
One Day Grade 1 NBCCC OD1 - Patties vs WSCC One Day 1's,2025-10-25,2025-10-25,12:00,14:00,One Day Round 2: NBCCC OD1 - Patties vs WSCC One Day 1's,Carine Open Space,NBCCC OD1 - Patties,true,true,false,false,false,
One Day Grade 2 Hola Health WSCC One Day 2's vs Bayswater Phyio - Bassendean CC 5th XI,2025-10-25,2025-10-25,12:00,14:00,One Day Round 2: Hola Health WSCC One Day 2's vs Bayswater Phyio - Bassendean CC 5th XI,College Park Lower - Synthetic,Hola Health WSCC One Day 2's,true,true,false,false,false,
One Day Grade 3 WSCC One Day 3's vs FMPCC Pirates 6th XI,2025-10-25,2025-10-25,12:00,14:00,One Day Round 2: WSCC One Day 3's vs FMPCC Pirates 6th XI,David Cruikshank Reserve,WSCC One Day 3's,true,true,false,false,false,
One Day Grade 4 WSCC One Day 4's vs Swan Athletic OD4,2025-10-25,2025-10-25,12:00,14:00,One Day Round 2: WSCC One Day 4's vs Swan Athletic OD4,Charles Court Reserve,WSCC One Day 4's,true,true,false,false,false,
One Day Grade 5 Black LSR SMCC 5th XI vs WSCC One Day 5's,2025-10-25,2025-10-25,12:00,14:00,One Day Round 2: LSR SMCC 5th XI vs WSCC One Day 5's,Woodlands Reserve,LSR SMCC 5th XI,true,true,false,false,false,
4th Grade Kreative Property WSCC 2nd XI vs Granex Trade Whitfords 2nd XI,2025-11-01,2025-11-01,12:30,14:30,One Day Round 4: Kreative Property WSCC 2nd XI vs Granex Trade Whitfords 2nd XI,College Park West - Turf,Kreative Property WSCC 2nd XI,true,true,false,false,false,
5th Grade MUMCC 3rd XI vs Prestige Liquor WSCC 3rd XI,2025-11-01,2025-11-01,12:30,14:30,One Day Round 4: MUMCC 3rd XI vs Prestige Liquor WSCC 3rd XI,Tompkins South West,MUMCC 3rd XI,true,true,false,false,false,
7th Grade Canaccord Genuity WSCC 4th XI vs Grill'd Midland - Bassendean CC 4th XI,2025-11-01,2025-11-01,12:30,14:30,One Day Round 4: Canaccord Genuity WSCC 4th XI vs Grill'd Midland - Bassendean CC 4th XI,Rosalie Park Turf (South Oval),Canaccord Genuity WSCC 4th XI,true,true,false,false,false,
One Day Grade 1 WSCC One Day 1's vs LSR SMCC One Day Ones,2025-11-01,2025-11-01,12:30,14:30,One Day Round 3: WSCC One Day 1's vs LSR SMCC One Day Ones,College Park Lower - Synthetic,WSCC One Day 1's,true,true,false,false,false,
One Day Grade 2 Swanbourne CC 4th XI - OD2 vs Hola Health WSCC One Day 2's,2025-11-01,2025-11-01,12:30,14:30,One Day Round 3: Swanbourne CC 4th XI - OD2 vs Hola Health WSCC One Day 2's,Mount Claremont Oval,Swanbourne CC 4th XI - OD2,true,true,false,false,false,
One Day Grade 3 High Wycombe 5th XI (OD3) vs WSCC One Day 3's,2025-11-01,2025-11-01,12:30,14:30,One Day Round 3: High Wycombe 5th XI (OD3) vs WSCC One Day 3's,Scott Reserve 3 (Synthetic),High Wycombe 5th XI (OD3),true,true,false,false,false,
One Day Grade 4 FMPCC Pirates 7th XI vs WSCC One Day 4's,2025-11-01,2025-11-01,12:30,14:30,One Day Round 3: FMPCC Pirates 7th XI vs WSCC One Day 4's,Tom Perrott Reserve,FMPCC Pirates 7th XI,true,true,false,false,false,
One Day Grade 5 Black WSCC One Day 5's vs MUMCC 6th XI,2025-11-01,2025-11-01,12:30,14:30,One Day Round 3: WSCC One Day 5's vs MUMCC 6th XI,David Cruikshank Reserve,WSCC One Day 5's,true,true,false,false,false,
Colts T20  vs,2025-11-02,2025-11-02,,, Round 3:  vs ,,Public,true,true,false,false,false,
RJR Sports T20 Division 1 Swanbourne CC T20 Div 1 vs Hola Health WSCC T20 Div 1,2025-11-02,2025-11-02,14:00,16:00,T20 Round 4: Swanbourne CC T20 Div 1 vs Hola Health WSCC T20 Div 1,Allen Park Upper (Turf),Swanbourne CC T20 Div 1,true,true,false,false,false,
RJR Sports T20 Division 1  vs,2025-11-02,2025-11-02,,, Round 3:  vs ,,Public,true,true,false,false,false,
Twenty20 Div 2 Swanbourne CC T20 Div 2 vs Varsity WSCC T20 Div 2,2025-11-02,2025-11-02,10:30,12:30,T20 Round 3: Swanbourne CC T20 Div 2 vs Varsity WSCC T20 Div 2,Allen Park Upper (Turf),Swanbourne CC T20 Div 2,true,true,false,false,false,
Twenty20 Div 3 Wembley Districts T20 Div 3 vs Prestige Liquor WSCC T20 Div 3,2025-11-02,2025-11-02,14:00,16:00,T20 Round 3: Wembley Districts T20 Div 3 vs Prestige Liquor WSCC T20 Div 3,Pat Goodridge Reserve (Turf),Wembley Districts T20 Div 3,true,true,false,false,false,
2nd Grade Hola Health WSCC 1st XI vs Ocean Ridge 1st XI,2025-11-08,2025-11-08,13:00,15:00,Two Day Round 5: Hola Health WSCC 1st XI vs Ocean Ridge 1st XI,College Park West - Turf,Hola Health WSCC 1st XI,true,true,false,false,false,
4th Grade Ocean Ridge 2nd XI vs Kreative Property WSCC 2nd XI,2025-11-08,2025-11-08,13:00,15:00,Two Day Round 5: Ocean Ridge 2nd XI vs Kreative Property WSCC 2nd XI,Flinders Park,Ocean Ridge 2nd XI,true,true,false,false,false,
5th Grade NBCCC 3rd XI - Knight Financial Advisors vs Prestige Liquor WSCC 3rd XI,2025-11-08,2025-11-08,13:00,15:00,Two Day Round 5: NBCCC 3rd XI - Knight Financial Advisors vs Prestige Liquor WSCC 3rd XI,Carine Open Space,NBCCC 3rd XI - Knight Financial Advisors,true,true,false,false,false,
7th Grade Canaccord Genuity WSCC 4th XI vs Applecross 5th XI,2025-11-08,2025-11-08,13:00,15:00,Two Day Round 5: Canaccord Genuity WSCC 4th XI vs Applecross 5th XI,Rosalie Park Turf (South Oval),Canaccord Genuity WSCC 4th XI,true,true,false,false,false,
One Day Grade 1 Wembley Districts 4th XI vs WSCC One Day 1's,2025-11-08,2025-11-08,12:30,14:30,One Day Round 4: Wembley Districts 4th XI vs WSCC One Day 1's,Wembley Sports Park (Synthetic),Wembley Districts 4th XI,true,true,false,false,false,
One Day Grade 2 Hola Health WSCC One Day 2's vs NBCCC OD2 - 1 Solution Finance,2025-11-08,2025-11-08,12:30,14:30,One Day Round 4: Hola Health WSCC One Day 2's vs NBCCC OD2 - 1 Solution Finance,Charles Court Reserve,Hola Health WSCC One Day 2's,true,true,false,false,false,
One Day Grade 3 North Perth 3rd XI vs WSCC One Day 3's,2025-11-08,2025-11-08,12:30,14:30,One Day Round 4: North Perth 3rd XI vs WSCC One Day 3's,Charles Veryard - East,North Perth 3rd XI,true,true,false,false,false,
